SupplierID,SupplierName,Country,Region,Category,ContractPerson,Email,PhoneNumber,ContractStartDate,ContractEndDate
29,Supplier_29,USA,South,Pharma,Contact_29,contact29@supplier.com,+420123450029,2023-02-25,2025-07-25
30,Supplier_30,USA,nan,Pharma,Contact_30,contact30@supplier.com,+420123450030,2023-03-12,2024-08-07
31,Supplier_31,Czechia,nan,Medical,Contact_31,contact31@supplier.com,+420123450031,2023-03-27,2025-09-21
32,Supplier_32,Germany,West,Medical,Contact_32,contact32@supplier.com,,2023-04-11,2024-07-25
33,Supplier_33,nan,South,Equipment,Contact_33,contact33@supplier.com,,2023-04-26,2025-04-19
34,Supplier_34,China,nan,,Contact_34,,+420123450034,2023-05-11,2026-06-18
35,Supplier_35,India,north,Medical,,contact35@supplier.com,+420123450035,2023-05-26,2025-09-25
36,Supplier_36,Czechia,nan,Medical,Contact_36,,+420123450036,2023-06-10,2026-12-09
37,Supplier_37,nan,West,Equipment,Contact_37,contact37@supplier.com,+420123450037,2023-06-25,2026-08-23
38,Supplier_38,India,nan,Medical,Contact_38,contact38@supplier.com,,2023-07-10,2024-08-31
39,Supplier_39,Czechia,South,nan,Contact_39,contact39@supplier.com,+420123450039,2023-07-25,2025-06-19
40,Supplier_40,nan,,Equipment,Contact_40,contact40@supplier.com,+420123450040,2023-08-09,2025-12-16
41,Supplier_41,USA,nan,Equipment,Contact_41,contact41@supplier.com,+420123450041,2023-08-24,2027-02-05
42,Supplier_42,usa,East,Medical,,contact42@supplier.com,,2023-09-08,2027-02-05
43,Supplier_43,USA,West,Pharma,Contact_43,contact43@supplier.com,+420123450043,2023-09-23,2027-10-04
44,Supplier_44,nan,north,Medical,Contact_44,contact44@supplier.com,,2023-10-08,2025-09-22
45,Supplier_45,Germany,West,Pharma,Contact_45,,+420123450045,2023-10-23,2026-05-28
46,Supplier_46,China,South,Medical,Contact_46,contact46@supplier.com,,2023-11-07,2027-10-05
47,Supplier_47,Czechia,,Medical,Contact_47,contact47@supplier.com,+420123450047,2023-11-22,2027-04-26
48,Supplier_48,Czechia,North,Medical,Contact_48,contact48@supplier.com,+420123450048,2023-12-07,2027-10-25
49,Supplier_49,Czechia,,nan,,contact49@supplier.com,+420123450049,2023-12-22,2027-10-30
50,Supplier_50,,North,Medical,Contact_50,contact50@supplier.com,+420123450050,2024-01-06,2025-10-25
51,Supplier_51,Germany,,Medical,Contact_51,contact51@supplier.com,+420123450051,2024-01-21,2025-01-21
52,Supplier_52,usa,nan,Medical,Contact_52,contact52@supplier.com,+420123450052,2024-02-05,2025-06-17
53,Supplier_53,,nan,,Contact_53,contact53@supplier.com,+420123450053,2024-02-20,2026-02-15
54,Supplier_54,,West,,Contact_54,,+420123450054,2024-03-06,2028-03-15
55,Supplier_55,China,North,nan,Contact_55,contact55@supplier.com,,2024-03-21,2026-10-31
56,Supplier_56,India,South,Medical,,contact56@supplier.com,+420123450056,2024-04-05,2025-04-30
57,Supplier_57,Germany,,Medical,Contact_57,contact57@supplier.com,,2024-04-20,2026-12-20
58,Supplier_58,Czechia,South,,Contact_58,contact58@supplier.com,+420123450058,2024-05-05,2027-01-24
59,Supplier_59,USA,North,Pharma,Contact_59,contact59@supplier.com,+420123450059,2024-05-20,2026-09-09
60,Supplier_60,China,West,Equipment,Contact_60,contact60@supplier.com,+420123450060,2024-06-04,2026-09-01
61,Supplier_61,India,,nan,Contact_61,contact61@supplier.com,+420123450061,2024-06-19,2026-09-04
62,Supplier_62,usa,South,Pharma,Contact_62,contact62@supplier.com,+420123450062,2024-07-04,2027-02-17
63,Supplier_63,USA,West,nan,,,+420123450063,2024-07-19,2026-08-28
64,Supplier_64,China,north,,Contact_64,contact64@supplier.com,+420123450064,2024-08-03,2026-10-16
65,Supplier_65,India,nan,Pharma,Contact_65,,+420123450065,2024-08-18,2026-11-25
66,Supplier_66,India,,Medical,Contact_66,contact66@supplier.com,,2024-09-02,2028-07-04
67,Supplier_67,India,nan,,Contact_67,,,2024-09-17,2025-12-18
68,Supplier_68,,north,Equipment,Contact_68,,,2024-10-02,2027-06-12
69,Supplier_69,usa,South,Equipment,Contact_69,contact69@supplier.com,+420123450069,2024-10-17,2026-03-31
70,Supplier_70,India,north,,,contact70@supplier.com,+420123450070,2024-11-01,2025-11-15
71,Supplier_71,Czechia,nan,Medical,Contact_71,contact71@supplier.com,+420123450071,2024-11-16,2027-08-03
72,Supplier_72,nan,north,Medical,Contact_72,,+420123450072,2024-12-01,2027-09-02
73,Supplier_73,China,West,Medical,Contact_73,,+420123450073,2024-12-16,2027-04-10
74,Supplier_74,China,north,Medical,Contact_74,contact74@supplier.com,+420123450074,2024-12-31,2028-11-26
75,Supplier_75,usa,West,Equipment,Contact_75,contact75@supplier.com,+420123450075,2025-01-15,2028-08-15
76,Supplier_76,Czechia,nan,nan,Contact_76,contact76@supplier.com,+420123450076,2025-01-30,2029-01-20
77,Supplier_77,,North,Pharma,,contact77@supplier.com,,2025-02-14,2027-05-05
78,Supplier_78,Czechia,nan,nan,Contact_78,contact78@supplier.com,+420123450078,2025-03-01,2027-08-09
79,Supplier_79,,,Pharma,Contact_79,contact79@supplier.com,+420123450079,2025-03-16,2029-03-05
80,Supplier_80,usa,north,Pharma,Contact_80,contact80@supplier.com,+420123450080,2025-03-31,2028-09-08
81,Supplier_81,China,north,Equipment,Contact_81,,+420123450081,2025-04-15,2027-04-11
82,Supplier_82,India,north,Equipment,Contact_82,contact82@supplier.com,,2025-04-30,2029-05-09
83,Supplier_83,USA,north,nan,Contact_83,contact83@supplier.com,+420123450083,2025-05-15,2027-11-15
84,Supplier_84,,North,Equipment,,contact84@supplier.com,+420123450084,2025-05-30,2027-01-07
85,Supplier_85,,North,Medical,Contact_85,contact85@supplier.com,+420123450085,2025-06-14,2027-08-30
86,Supplier_86,nan,South,nan,Contact_86,contact86@supplier.com,+420123450086,2025-06-29,2029-04-24
87,Supplier_87,Czechia,North,Medical,Contact_87,contact87@supplier.com,+420123450087,2025-07-14,2028-11-05
88,Supplier_88,nan,North,Pharma,Contact_88,contact88@supplier.com,,2025-07-29,2027-03-27
89,Supplier_89,China,north,Medical,Contact_89,contact89@supplier.com,+420123450089,2025-08-13,2028-02-27
90,Supplier_90,,East,Medical,Contact_90,,+420123450090,2025-08-28,2029-09-29
91,Supplier_91,nan,East,Medical,,contact91@supplier.com,+420123450091,2025-09-12,2027-08-11
92,Supplier_92,Germany,,Pharma,Contact_92,contact92@supplier.com,+420123450092,2025-09-27,2028-05-25
93,Supplier_93,China,,Medical,Contact_93,contact93@supplier.com,+420123450093,2025-10-12,2027-03-26
94,Supplier_94,India,North,Pharma,Contact_94,contact94@supplier.com,+420123450094,2025-10-27,2029-02-24
95,Supplier_95,usa,nan,Equipment,Contact_95,contact95@supplier.com,+420123450095,2025-11-11,2028-04-08
96,Supplier_96,nan,nan,,Contact_96,contact96@supplier.com,+420123450096,2025-11-26,2029-04-03
97,Supplier_97,Germany,South,nan,Contact_97,contact97@supplier.com,+420123450097,2025-12-11,2029-08-23
98,Supplier_98,India,nan,Pharma,,contact98@supplier.com,+420123450098,2025-12-26,2027-12-27
99,Supplier_99,Czechia,nan,Medical,Contact_99,,,2026-01-10,2028-11-12
100,Supplier_100,USA,North,Pharma,Contact_100,contact100@supplier.com,+420123450100,2026-01-25,2029-09-02
